ral_id|query_id|kernel_id|input_num_rows|input_num_bytes|output_num_rows|output_num_bytes|event_type|timestamp_begin|timestamp_end
0|611348506|1|233539|224226983|233539|224226983|compute|1599628980750|1599628980750
0|611348506|0|233539|224226983|10|10952|compute|1599628980816|1599628980823
0|879230055|2|233539|2772426|233539|2772426|compute|1599631297445|1599631297445
0|879230055|1|233539|2772426|36|873|compute|1599631297483|1599631297484
0|879230055|0|36|873|36|1017|compute|1599631297484|1599631297497
0|1587396404|6|233539|2772426|233539|2772426|compute|1599631307640|1599631307640
0|1587396404|5|233539|2772426|36|873|compute|1599631307641|1599631307642
0|1587396404|4|36|873|36|1017|compute|1599631307642|1599631307643
0|1587396404|3|36|1017|36|1017|compute|1599631307643|1599631307644
0|1962824262|3|233539|2802472|233539|2802472|compute|1599631373765|1599631373765
0|1962824262|2|233539|2802472|233539|233539|compute|1599631373809|1599631373810
0|1962824262|1|233539|233539|1|8|compute|1599631373810|1599631373810
0|1962824262|0|1|8|1|8|compute|1599631373810|1599631373815
0|355172647|6|233539|2772426|233539|2772426|compute|1599631402322|1599631402323
0|355172647|5|233539|2772426|36|873|compute|1599631402365|1599631402366
0|355172647|4|36|873|36|1017|compute|1599631402366|1599631402368
0|355172647|3|36|1017|36|288|compute|1599631402368|1599631402369
0|355172647|2|36|288|1|16|compute|1599631402369|1599631402369
0|355172647|1|1|16|1|16|compute|1599631402369|1599631402370
0|355172647|0|1|16|1|8|compute|1599631402370|1599631402376
0|1563275723|6|233539|2772426|233539|2772426|compute|1599631464598|1599631464598
0|1563275723|5|233539|2772426|36|873|compute|1599631464598|1599631464600
0|1563275723|4|36|873|36|1017|compute|1599631464600|1599631464601
0|1563275723|3|36|1017|36|1017|compute|1599631464601|1599631464602
0|1511722598|6|233539|2772426|233539|2772426|compute|1599631470328|1599631470328
0|1511722598|5|233539|2772426|36|873|compute|1599631470329|1599631470330
0|1511722598|4|36|873|36|1017|compute|1599631470330|1599631470331
0|1511722598|3|36|1017|36|1017|compute|1599631470332|1599631470332
0|1511722598|0|36|1017|10|220|compute|1599631470334|1599631470334
0|405031727|6|233539|2772426|233539|2772426|compute|1599631495308|1599631495308
0|405031727|5|233539|2772426|36|873|compute|1599631495339|1599631495340
0|405031727|4|36|873|36|1017|compute|1599631495340|1599631495341
0|405031727|3|36|1017|36|1017|compute|1599631495342|1599631495342
0|405031727|0|36|1017|10|220|compute|1599631495344|1599631495344
0|626822445|3|233539|2802472|233539|2802472|compute|1599631498800|1599631498800
0|626822445|2|233539|2802472|233539|233539|compute|1599631498801|1599631498802
0|626822445|1|233539|233539|1|8|compute|1599631498802|1599631498802
0|626822445|0|1|8|1|8|compute|1599631498802|1599631498803
0|1907688968|6|233539|2772426|233539|2772426|compute|1599631682976|1599631682976
0|1907688968|5|233539|2772426|36|873|compute|1599631682979|1599631682980
0|1907688968|4|36|873|36|1017|compute|1599631682980|1599631682981
0|1907688968|3|36|1017|36|1017|compute|1599631682981|1599631682982
0|1907688968|0|36|1017|10|220|compute|1599631682984|1599631682984
0|1242046241|3|233539|2802472|233539|2802472|compute|1599631683520|1599631683520
0|1242046241|2|233539|2802472|233539|233539|compute|1599631683521|1599631683521
0|1242046241|1|233539|233539|1|8|compute|1599631683521|1599631683522
0|1242046241|0|1|8|1|8|compute|1599631683522|1599631683522
0|955398365|2|233539|4821627|233539|4821627|compute|1599631686960|1599631686960
0|955398365|1|233539|4821627|233539|233539|compute|1599631686961|1599631686968
0|955398365|0|233539|233539|10|10|compute|1599631686968|1599631686968
0|1603934530|3|233539|4821627|233539|4821627|compute|1599631758321|1599631758321
0|1603934530|2|233539|4821627|233539|233539|compute|1599631758352|1599631758355
